epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,390.017,1.20087,1.80147,1.44716,0.76244,0.768,0.76223,0.47984,1.24818,1.55459,1.55931,0.00047547,0.00047547,0.00047547
2,668.524,1.17472,1.2911,1.43269,0.75317,0.74493,0.73552,0.46174,1.25424,1.29367,1.57585,0.000932958,0.000932958,0.000932958
3,962.627,1.15884,1.15341,1.42356,0.79708,0.80426,0.79576,0.55442,1.088,1.06284,1.40714,0.00137158,0.00137158,0.00137158
4,1251.12,1.12008,1.07689,1.38893,0.81618,0.83043,0.83746,0.59548,1.00483,0.93271,1.34315,0.00134412,0.00134412,0.00134412
5,1510.03,1.07153,0.99674,1.34523,0.81855,0.80015,0.83509,0.58755,0.96367,0.92843,1.29399,0.00131582,0.00131582,0.00131582
6,1762.87,1.04652,0.96199,1.32717,0.87423,0.85067,0.85862,0.61822,0.94479,0.82335,1.27696,0.00128753,0.00128753,0.00128753
7,2015.15,1.00746,0.9227,1.30243,0.86906,0.8376,0.85467,0.61901,0.94931,0.85581,1.27876,0.00125923,0.00125923,0.00125923
